Liste;Kontokl;Kontonr;Name
Kontenplan LTN 2.08.2024;0;01000;Immaterielle Vermögensgegenstände
Kontenplan LTN 2.08.2024;0;02001;Grundstücke
Kontenplan LTN 2.08.2024;0;02002;Anlagen und Maschinen
Kontenplan LTN 2.08.2024;0;02003;BGA
Kontenplan LTN 2.08.2024;1;11001;Wareneinkauf
Kontenplan LTN 2.08.2024;1;11002;Lieferantenskonto
Kontenplan LTN 2.08.2024;1;11003;Lieferantenboni
Kontenplan LTN 2.08.2024;1;12000;Geleistete Anzahlungen
Kontenplan LTN 2.08.2024;1;13001;Forderungen aus LuL
Kontenplan LTN 2.08.2024;1;13002;Vorsteuer
Kontenplan LTN 2.08.2024;1;13002;Sonstige Forderungen
Kontenplan LTN 2.08.2024;1;14001;Kasse
Kontenplan LTN 2.08.2024;1;14002;Bank
Kontenplan LTN 2.08.2024;1;15000;ARAP
Kontenplan LTN 2.08.2024;2;21000;Eigenkapital
Kontenplan LTN 2.08.2024;2;22000;Privatkonto
Kontenplan LTN 2.08.2024;3;31000;Rückstellungen
Kontenplan LTN 2.08.2024;3;32001;Verbindlichkeiten gg. Kreditinstituten
Kontenplan LTN 2.08.2024;3;32002;Erhaltene Anzahlungen
Kontenplan LTN 2.08.2024;3;32003;Verbindlichkeiten aus LuL
Kontenplan LTN 2.08.2024;3;32004;Berechnete USt
Kontenplan LTN 2.08.2024;3;32005;Umsatzsteuerverrechnung
Kontenplan LTN 2.08.2024;3;32006;Sonstige Verbindlichkeiten
Kontenplan LTN 2.08.2024;3;33000;PRAP
Kontenplan LTN 2.08.2024;4;41001;Wareneinsatz
Kontenplan LTN 2.08.2024;4;41002;Warenverlustkonto
Kontenplan LTN 2.08.2024;4;42000;Sonstige betriebliche Aufwendungen (sbA)
Kontenplan LTN 2.08.2024;4;43001;Lohn- und Gehaltsaufwand
Kontenplan LTN 2.08.2024;4;43002;Sozialaufwand (AGA)
Kontenplan LTN 2.08.2024;4;44001;Abschreibungen
Kontenplan LTN 2.08.2024;4;44002;Außerplanmäßige Abschreibungen
Kontenplan LTN 2.08.2024;4;45000;Mietaufwand
Kontenplan LTN 2.08.2024;4;46000;Reparaturaufwand
Kontenplan LTN 2.08.2024;4;47000;Zinsaufwand
Kontenplan LTN 2.08.2024;5;50001;Warenverkauf
Kontenplan LTN 2.08.2024;5;50002;Kundenskonto
Kontenplan LTN 2.08.2024;5;50003;Kundenboni
Kontenplan LTN 2.08.2024;5;51000;Sonstige betriebliche Erträge (sbE)
Kontenplan LTN 2.08.2024;5;52000;Mietertrag
Kontenplan LTN 2.08.2024;5;53000;Zinsertrag
